"lon" "lat" "currentDist"
"1" 1 1 138
"2" 1 2 124
"3" 1 3 123
"4" 1 4 103
"5" 1 5 129
"6" 1 6 147
"7" 1 7 117
"8" 1 8 118
"9" 1 9 138
"10" 1 10 118
"11" 1 11 110
"12" 1 12 126
"13" 1 13 124
"14" 1 14 148
"15" 1 15 131
"16" 1 16 114
"17" 1 17 90
"18" 1 18 80
"19" 1 19 126
"20" 1 20 98
"21" 1 21 115
"22" 1 22 97
"23" 1 23 120
"24" 1 24 117
"25" 1 25 131
"26" 1 26 136
"27" 1 27 123
"28" 1 28 131
"29" 1 29 74
"30" 1 30 104
"31" 1 31 107
"32" 1 32 166
"33" 1 33 103
"34" 1 34 119
"35" 1 35 107
"36" 1 36 102
"37" 1 37 104
"38" 1 38 119
"39" 1 39 123
"40" 1 40 108
"41" 1 41 138
"42" 1 42 116
"43" 1 43 101
"44" 1 44 109
"45" 1 45 124
"46" 1 46 122
"47" 1 47 103
"48" 1 48 126
"49" 1 49 150
"50" 1 50 156
"51" 1 51 143
"52" 1 52 164
"53" 1 53 134
"54" 1 54 135
"55" 1 55 162
"56" 1 56 150
"57" 1 57 164
"58" 1 58 149
"59" 1 59 161
"60" 1 60 201
"61" 1 61 165
"62" 1 62 145
"63" 1 63 100
"64" 1 64 151
"65" 1 65 172
"66" 1 66 148
"67" 1 67 107
"68" 1 68 112
"69" 1 69 138
"70" 1 70 94
"71" 1 71 78
"72" 1 72 69
"73" 1 73 85
"74" 1 74 82
"75" 1 75 114
"76" 1 76 82
"77" 1 77 111
"78" 1 78 111
"79" 1 79 131
"80" 1 80 148
"81" 1 81 139
"82" 1 82 137
"83" 1 83 124
"84" 1 84 84
"85" 1 85 104
"86" 1 86 110
"87" 1 87 104
"88" 1 88 93
"89" 1 89 118
"90" 1 90 99
"91" 1 91 92
"92" 1 92 103
"93" 1 93 96
"94" 1 94 119
"95" 2 1 120
"96" 2 2 110
"97" 2 3 137
"98" 2 4 115
"99" 2 5 123
"100" 2 6 159
"101" 2 7 163
"102" 2 8 136
"103" 2 9 122
"104" 2 10 116
"105" 2 11 102
"106" 2 12 152
"107" 2 13 140
"108" 2 14 144
"109" 2 15 127
"110" 2 16 108
"111" 2 17 126
"112" 2 18 106
"113" 2 19 106
"114" 2 20 115
"115" 2 21 116
"116" 2 22 123
"117" 2 23 110
"118" 2 24 124
"119" 2 25 88
"120" 2 26 115
"121" 2 27 150
"122" 2 28 144
"123" 2 29 108
"124" 2 30 116
"125" 2 31 121
"126" 2 32 152
"127" 2 33 129
"128" 2 34 147
"129" 2 35 141
"130" 2 36 141
"131" 2 37 136
"132" 2 38 142
"133" 2 39 130
"134" 2 40 100
"135" 2 41 151
"136" 2 42 119
"137" 2 43 99
"138" 2 44 106
"139" 2 45 120
"140" 2 46 125
"141" 2 47 97
"142" 2 48 137
"143" 2 49 122
"144" 2 50 188
"145" 2 51 139
"146" 2 52 108
"147" 2 53 126
"148" 2 54 139
"149" 2 55 142
"150" 2 56 142
"151" 2 57 163
"152" 2 58 127
"153" 2 59 139
"154" 2 60 173
"155" 2 61 172
"156" 2 62 186
"157" 2 63 125
"158" 2 64 139
"159" 2 65 172
"160" 2 66 122
"161" 2 67 119
"162" 2 68 123
"163" 2 69 138
"164" 2 70 92
"165" 2 71 62
"166" 2 72 86
"167" 2 73 99
"168" 2 74 129
"169" 2 75 126
"170" 2 76 130
"171" 2 77 119
"172" 2 78 111
"173" 2 79 131
"174" 2 80 161
"175" 2 81 176
"176" 2 82 94
"177" 2 83 133
"178" 2 84 130
"179" 2 85 104
"180" 2 86 113
"181" 2 87 104
"182" 2 88 73
"183" 2 89 110
"184" 2 90 79
"185" 2 91 86
"186" 2 92 111
"187" 2 93 74
"188" 2 94 121
"189" 3 1 126
"190" 3 2 122
"191" 3 3 135
"192" 3 4 141
"193" 3 5 99
"194" 3 6 149
"195" 3 7 134
"196" 3 8 106
"197" 3 9 126
"198" 3 10 150
"199" 3 11 128
"200" 3 12 132
"201" 3 13 126
"202" 3 14 132
"203" 3 15 105
"204" 3 16 106
"205" 3 17 98
"206" 3 18 136
"207" 3 19 128
"208" 3 20 144
"209" 3 21 119
"210" 3 22 114
"211" 3 23 133
"212" 3 24 103
"213" 3 25 110
"214" 3 26 144
"215" 3 27 138
"216" 3 28 153
"217" 3 29 84
"218" 3 30 151
"219" 3 31 98
"220" 3 32 108
"221" 3 33 146
